date,equity,cash,holding_code,scheduled_code
2023-07-10,289903.7383143833,289903.7383143833,,9433
2023-07-11,289903.7383143833,289903.7383143833,,8113
2023-07-12,289903.7383143833,289903.7383143833,,
2023-07-13,289903.7383143833,289903.7383143833,,6758
2023-07-14,289903.7383143833,289903.7383143833,,
2023-07-18,289903.7383143833,289903.7383143833,,2914
2023-07-19,289903.7383143833,289903.7383143833,,6954
2023-07-20,289903.7383143833,289903.7383143833,,
2023-07-21,289903.7383143833,289903.7383143833,,9432
2023-07-24,291151.0148799351,107011.02159380226,9432,
2023-07-25,286704.7280744279,286704.7280744279,,
2023-07-26,286704.7280744279,286704.7280744279,,6273
2023-07-27,286704.7280744279,286704.7280744279,,
2023-07-28,286704.7280744279,286704.7280744279,,6861
2023-07-31,286704.7280744279,286704.7280744279,,4901
2023-08-01,286704.7280744279,286704.7280744279,,
2023-08-02,286704.7280744279,286704.7280744279,,
2023-08-03,286704.7280744279,286704.7280744279,,7741
2023-08-04,286704.7280744279,286704.7280744279,,
2023-08-07,286704.7280744279,286704.7280744279,,5108
2023-08-08,286704.7280744279,286704.7280744279,,2502
2023-08-09,286704.7280744279,286704.7280744279,,
2023-08-10,286704.7280744279,286704.7280744279,,9983
2023-08-14,286704.7280744279,286704.7280744279,,
2023-08-15,286704.7280744279,286704.7280744279,,4661
2023-08-16,286704.7280744279,286704.7280744279,,
2023-08-17,286704.7280744279,286704.7280744279,,8630
2023-08-18,286704.7280744279,286704.7280744279,,
2023-08-21,286704.7280744279,286704.7280744279,,8830
2023-08-22,286704.7280744279,286704.7280744279,,8053
2023-08-23,286704.7280744279,286704.7280744279,,8750
2023-08-24,286704.7280744279,286704.7280744279,,
2023-08-25,286704.7280744279,286704.7280744279,,
2023-08-28,286704.7280744279,286704.7280744279,,8053
2023-08-29,286704.7280744279,286704.7280744279,,8750
2023-08-30,286704.7280744279,286704.7280744279,,
2023-08-31,286704.7280744279,286704.7280744279,,9202
2023-09-01,286704.7280744279,286704.7280744279,,
2023-09-04,286704.7280744279,286704.7280744279,,
2023-09-05,286704.7280744279,286704.7280744279,,
2023-09-06,286704.7280744279,286704.7280744279,,
2023-09-07,286704.7280744279,286704.7280744279,,
2023-09-08,286704.7280744279,286704.7280744279,,
2023-09-11,286704.7280744279,286704.7280744279,,
2023-09-12,286704.7280744279,286704.7280744279,,9202
2023-09-13,286704.7280744279,286704.7280744279,,
2023-09-14,286704.7280744279,286704.7280744279,,
2023-09-15,286704.7280744279,286704.7280744279,,
2023-09-19,286704.7280744279,286704.7280744279,,
2023-09-20,286704.7280744279,286704.7280744279,,
2023-09-21,286704.7280744279,286704.7280744279,,
2023-09-22,286704.7280744279,286704.7280744279,,2802
2023-09-25,286704.7280744279,286704.7280744279,,8035
2023-09-26,286704.7280744279,286704.7280744279,,
2023-09-27,286704.7280744279,286704.7280744279,,8267
2023-09-28,286704.7280744279,286704.7280744279,,
2023-09-29,286704.7280744279,286704.7280744279,,
2023-10-02,286704.7280744279,286704.7280744279,,
2023-10-03,286704.7280744279,286704.7280744279,,
2023-10-04,286704.7280744279,286704.7280744279,,
2023-10-05,286704.7280744279,286704.7280744279,,7011
2023-10-06,286704.7280744279,286704.7280744279,,8015
2023-10-10,286704.7280744279,286704.7280744279,,5020
2023-10-11,286529.5968549455,231519.59929635175,5020,
2023-10-12,286689.6005170549,231519.59929635175,5020,
2023-10-13,286099.59807564865,231519.59929635175,5020,
2023-10-16,287129.5968549455,231519.59929635175,5020,
2023-10-17,286759.601737758,231519.59929635175,5020,
2023-10-18,287769.5992963518,231519.59929635175,5020,
2023-10-19,287579.5968549455,231519.59929635175,5020,
2023-10-20,288019.5992963518,231519.59929635175,5020,
2023-10-23,286319.5992963518,231519.59929635175,5020,
2023-10-24,286019.5992963518,231519.59929635175,5020,
2023-10-25,286689.6005170549,231519.59929635175,5020,
2023-10-26,285999.59807564865,231519.59929635175,5020,
2023-10-27,287199.59807564865,231519.59929635175,5020,
2023-10-30,286809.601737758,231519.59929635175,5020,
2023-10-31,287289.6005170549,231519.59929635175,5020,
2023-11-01,288369.5992963518,231519.59929635175,5020,
2023-11-02,288119.5992963518,231519.59929635175,5020,
2023-11-06,288149.59807564865,231519.59929635175,5020,
2023-11-07,288129.5968549455,231519.59929635175,5020,
2023-11-08,285738.89837297704,285738.89837297704,,
2023-11-09,285738.89837297704,285738.89837297704,,
2023-11-10,285738.89837297704,285738.89837297704,,8316
