strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-02,146879.9981689453,151350.00610351562,298230.00427246094,0.5074942290690619,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-03,146879.9981689453,150850.00610351562,297730.00427246094,0.5066671277291509,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-04,146879.9981689453,150149.99389648438,297029.9920654297,0.5055044874505783,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-05,146879.9981689453,151399.99389648438,298279.9920654297,0.5075767665411288,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-08,146879.9981689453,152750.0,299629.9981689453,0.5097954174597447,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-09,146879.9981689453,150500.0,297379.9981689453,0.5060864917838188,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-10,146879.9981689453,151750.0,298629.9981689453,0.5081539059386451,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-12,146879.9981689453,151399.99389648438,298279.9920654297,0.5075767665411288,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-15,146879.9981689453,152149.99389648438,299029.9920654297,0.5088118179904609,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-16,146879.9981689453,151850.00610351562,298730.00427246094,0.5083185616836087,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-17,146879.9981689453,153149.99389648438,300029.9920654297,0.5104489482607654,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-18,146879.9981689453,152850.00610351562,299730.00427246094,0.5099589761609976,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-19,146879.9981689453,152949.9969482422,299829.9951171875,0.5101224008240477,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-22,146879.9981689453,153550.0030517578,300430.0012207031,0.511100763664932,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-23,146879.9981689453,151949.9969482422,298829.9951171875,0.5084830821238489,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-24,146879.9981689453,151000.0,297879.9981689453,0.5069155395736205,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-25,146879.9981689453,151350.00610351562,298230.00427246094,0.5074942290690619,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-26,146879.9981689453,151699.9969482422,298579.9951171875,0.5080715367039328,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-29,146879.9981689453,150449.9969482422,297329.9951171875,0.506003428577547,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-30,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-31,297579.9951171875,0.0,297579.9951171875,0.0,0
